Month,January,February,March,April,May,June,July,August,September,October,November,December,t,t_squared
2003-01-01,1,0,0,0,0,0,0,0,0,0,0,0,97,9409
2003-02-01,0,1,0,0,0,0,0,0,0,0,0,0,98,9604
2003-03-01,0,0,1,0,0,0,0,0,0,0,0,0,99,9801
2003-04-01,0,0,0,1,0,0,0,0,0,0,0,0,100,10000
2003-05-01,0,0,0,0,1,0,0,0,0,0,0,0,101,10201
2003-06-01,0,0,0,0,0,1,0,0,0,0,0,0,102,10404
2003-07-01,0,0,0,0,0,0,1,0,0,0,0,0,103,10609
2003-08-01,0,0,0,0,0,0,0,1,0,0,0,0,104,10816
2003-09-01,0,0,0,0,0,0,0,0,1,0,0,0,105,11025
2003-10-01,0,0,0,0,0,0,0,0,0,1,0,0,106,11236
2003-11-01,0,0,0,0,0,0,0,0,0,0,1,0,107,11449
2003-12-01,0,0,0,0,0,0,0,0,0,0,0,1,108,11664
2004-01-01,1,0,0,0,0,0,0,0,0,0,0,0,109,11881
2004-02-01,0,1,0,0,0,0,0,0,0,0,0,0,110,12100
2004-03-01,0,0,1,0,0,0,0,0,0,0,0,0,111,12321
2004-04-01,0,0,0,1,0,0,0,0,0,0,0,0,112,12544
2004-05-01,0,0,0,0,1,0,0,0,0,0,0,0,113,12769
2004-06-01,0,0,0,0,0,1,0,0,0,0,0,0,114,12996
2004-07-01,0,0,0,0,0,0,1,0,0,0,0,0,115,13225
2004-08-01,0,0,0,0,0,0,0,1,0,0,0,0,116,13456
2004-09-01,0,0,0,0,0,0,0,0,1,0,0,0,117,13689
2004-10-01,0,0,0,0,0,0,0,0,0,1,0,0,118,13924
2004-11-01,0,0,0,0,0,0,0,0,0,0,1,0,119,14161
2004-12-01,0,0,0,0,0,0,0,0,0,0,0,1,120,14400
